261 C I 1117.205
262 C I 1117.000
263 C I 1115.225
264 C I 1115.168
265 C I 1114.832
266 C I 1114.628
267 C I 1114.4611
268 C I 1114.457
269 C I 1114.1258
270 C I 1114.380
271 C I 1114.332
272 C I 1113.996
273 C I 1113.793
274 C I 1112.825
275 C I 1112.806
276 C I 1112.472
277 C I 1112.269
278 C I 1112.0593
279 C I 1112.058
280 C I 1111.7255
281 C I 1111.957
282 C I 1111.624
283 C I 1111.421
284 C I 1110.441
285 C I 1110.211
286 C I 1109.878
287 C I 1109.676
288 C I 1110.169
289 C I 1109.836
290 C I 1109.634
291 C I 1109.565
292 C I 1109.233
293 C I 1109.031
294 C I 1108.816
295 C I 1108.484
296 C I 1108.283
297 C I 1108.794
298 C I 1108.462
299 C I 1108.260
300 C I 1108.441
301 C I 1108.109
302 C I 1107.908
303 C I 1107.679
304 C I 1107.347
305 C I 1107.146
306 C I 1107.043
307 C I 1106.781
308 C I 1106.450
309 C I 1106.250
310 C I 1106.315
311 C I 1106.063
312 C I 1105.732
313 C I 1105.532
314 C I 1105.329
315 C I 1105.472
316 C I 1105.142
317 C I 1104.942
318 C I 1104.957
319 C I 1104.627
320 C I 1104.427
321 C I 1104.520
322 C I 1104.190
323 C I 1103.991
324 C I 1104.157
325 C I 1103.828
326 C I 1103.629
327 C I 1103.845
328 C I 1103.516
329 C I 1103.316
330 C I 945.579
331 C I 945.338
332 C I 945.191
333 C II 1335.7077
334 C II 1335.6627
335 C II 1334.5323
336 C II 1037.0182
337 C II 1036.3367
338 C III 1908.734
339 C III 977.020
340 C IV 1550.770
341 C IV 1548.195
342 N I 1200.7098
343 N I 1200.2233
344 N I 1199.5496
345 N I 1160.937
346 N I 1159.817
347 N I 1134.9803
348 N I 1134.4149
349 N I 1134.1653
350 N I 1003.377
351 N I 1003.372
352 N I 965.0413
353 N I 964.6256
354 N I 963.9903
355 N I 960.201
356 N I 959.4936
357 N I 955.8814
358 N I 955.5292
359 N I 955.437
360 N I 955.2643
361 N I 954.1042
362 N I 953.9699
363 N I 953.6549
364 N I 953.4152
365 N I 952.5227
366 N I 952.4148
367 N I 952.3034
368 N I 951.2947
369 N I 951.0791
370 N II 1085.701
371 N II 1085.546
372 N II 1085.529
373 N II 1084.580
374 N II 1084.562
375 N II 1083.990
376 N II 916.710
377 N II 916.701
378 N II 916.020
379 N II 916.012
380 N II 915.962
381 N II 915.612
382 N III 1753.995
383 N III 1752.160
384 N III 1749.674
385 N III 1748.646
386 N III 1746.823
387 N III 991.577
388 N III 991.511
389 N III 989.799
390 N IV 1486.496
391 N V 1242.804
392 N V 1238.821
393 O I 1358.5123
394 O I 1355.5977
395 O I 1306.0286
396 O I 1304.8576
397 O I 1302.1685
398 O I 1049.115
399 O I 1047.376
400 O I 1041.6876
401 O I 1040.9425
402 O I 1039.2304
403 O I 1028.8705
404 O I 1028.1447
405 O I 1028.1436
406 O I 1028.1431
407 O I 1026.4757
408 O I 1026.4744
409 O I 1026.4733
410 O I 1028.1571
411 O I 1027.4313
412 O I 1027.4305
413 O I 1025.7633
414 O I 1025.7626
415 O I 1025.7616
416 O I 990.8010
417 O I 990.2043
418 O I 990.1269
419 O I 988.7734
420 O I 988.6549
421 O I 988.5778
422 O I 980.792
423 O I 979.272
424 O I 978.6170
425 O I 977.9594
426 O I 976.4481
427 O I 975.574
428 O I 974.070
429 O I 974.2916
430 O I 973.6402
431 O I 973.6398
432 O I 973.6395
433 O I 972.1428
434 O I 972.1422
435 O I 972.1418
436 O I 973.8852
437 O I 973.2343
438 O I 973.2339
439 O I 971.7382
440 O I 971.7376
441 O I 971.7371
442 O I 953.6430
443 O I 952.2059
444 O I 952.9413
445 O I 952.3178
446 O I 950.8846
447 O I 950.7327
448 O I 950.1121
449 O I 950.1121
450 O I 948.6855
451 O I 948.6855
452 O I 948.6855
453 O I 939.8412
454 O I 939.2346
455 O I 937.8405
456 O I 938.6249
457 O I 938.0200
458 O I 938.0200
459 O I 936.6295
460 O I 936.6295
461 O I 936.6295
462 O I 932.2249
463 O I 931.6282
464 O I 930.2566
465 O I 931.4820
466 O I 930.8862
467 O I 930.8862
468 O I 929.5168
469 O I 929.5168
470 O I 929.5168
471 O I 927.394
472 O I 926.809
473 O I 925.442
474 O I 926.903
475 O I 926.295
476 O I 926.295
477 O I 924.952
478 O I 924.952
479 O I 924.952
480 O I 924.135
481 O I 923.549
482 O I 922.200
483 O I 923.790
484 O I 923.200
485 O I 923.200
486 O I 921.860
487 O I 921.860
488 O I 921.860
489 O I 921.860
490 O I 921.247
491 O I 919.908
492 O I 921.575
493 O I 921.005
494 O I 921.005
495 O I 919.658
496 O I 919.658
497 O I 919.658
498 O I 919.961
499 O I 919.380
500 O I 919.380
501 O I 918.044
502 O I 918.044
503 O I 918.044
504 O I 918.726
505 O I 918.147
506 O I 918.147
507 O I 916.815
508 O I 916.815
509 O I 916.815
510 O I 917.
511 O III 1666.150
512 O III 1660.809
513 O IV 1407.382
514 O IV 1404.806
515 O IV 1401.157
516 O IV 1399.780
517 O IV 1397.232
518 O V 1218.344
519 O VI 1037.6167
520 O VI 1031.9261
521 F I 977.743
522 F I 976.508
523 F I 976.217
524 F I 973.895
525 F I 972.380
526 F I 958.525
527 F I 955.546
528 F I 954.826
529 F I 951.870
530 F IV 1359.052
531 F IV 1351.923
532 F V 1175.838
533 F V 1172.347
534 F V 1167.372
535 F V 1165.634
536 F V 1162.203
537 F VI 1032.52
538 Ne V 1146.1
539 Ne V 1137.0
540 Ne VI 1010.6
541 Ne VI 1006.1
