;1  The first column is the upper electronic state 
;2  (2=Lyman (B-X), 3= Werner (C-X))
;3  nup is the upper vibrational level 
;4  npp is the lower vibrational level 
;5  Jup is the upper rotational level 
;6  Jpp is the lower rotational level 
;7  
;8
;9   nup  npp Jup Jpp      wave         f           gu     gamma         label  rank 
70 2   4   0   2   1   1049.96   0.0154256   9   1.44480e+09   L4-0R(1)   1
71 2   4   0   0   1   1051.03   0.00772852   9   1.45410e+09   L4-0P(1)   2
72 2   4   0   3   2   1051.50   0.0139238   5   1.43850e+09   L4-0R(2)   3
73 2   4   0   1   2   1053.28   0.00898134   5   1.45800e+09   L4-0P(2)   4
74 2   4   0   4   3   1053.98   0.0132758   21   1.43770e+09   L4-0R(3)   5
75 2   4   0   2   3   1056.47   0.00956172   21   1.44480e+09   L4-0P(3)   6
76 2   4   0   5   4   1057.38   0.0129066   9   1.42670e+09   L4-0R(4)   7
77 2   4   0   3   4   1060.58   0.00983701   9   1.43850e+09   L4-0P(4)   8
78 2   4   0   6   5   1061.70   0.0125821   33   1.40410e+09   L4-0R(5)   9
79 2   4   0   4   5   1065.60   0.00988908   33   1.43770e+09   L4-0P(5)   10
80 2   4   0   7   6   1066.91   0.0122083   13   1.40370e+09   L4-0R(6)   11
81 2   4   0   5   6   1071.50   0.00990381   13   1.42670e+09   L4-0P(6)   12
82 2   4   0   8   7   1072.99   0.0119327   45   1.38100e+09   L4-0R(7)   13
83 2   4   0   6   7   1078.27   0.00997036   45   1.40410e+09   L4-0P(7)   14
84 2   4   0   9   8   1079.92   0.012       17   1.4e+09       L4-0R(8)   15
85 2   4   0   7   8   1085.87   0.010       17   1.4e+09       L4-0P(8)   16
86 2   5   0   1   0   1036.54   0.0270608   1   1.36520e+09   L5-0R(0)   0
87 2   5   0   2   1   1037.15   0.0180080   9   1.36730e+09   L5-0R(1)   1
88 2   5   0   0   1   1038.16   0.00861761   9   1.36860e+09   L5-0P(1)   2
89 2   5   0   3   2   1038.69   0.0165304   5   1.35500e+09   L5-0R(2)   3
90 2   5   0   1   2   1040.37   0.00973613   5   1.36520e+09   L5-0P(2)   4
91 2   5   0   4   3   1041.16   0.0158801   21   1.34990e+09   L5-0R(3)   5
92 2   5   0   2   3   1043.50   0.0107276   21   1.36730e+09   L5-0P(3)   6
93 2   5   0   5   4   1044.54   0.0153940   9   1.34050e+09   L5-0R(4)   7
94 2   5   0   3   4   1047.55   0.0110043   9   1.35500e+09   L5-0P(4)   8
95 2   5   0   6   5   1048.83   0.0152025   33   1.32930e+09   L5-0R(5)   9
96 2   5   0   4   5   1052.50   0.0111421   33   1.34990e+09   L5-0P(5)   10
97 2   5   0   7   6   1054.00   0.0149894   13   1.29610e+09   L5-0R(6)   11
98 2   5   0   5   6   1058.32   0.0110825   13   1.34050e+09   L5-0P(6)   12
99 2   5   0   8   7   1060.03   0.0147009   45   1.27480e+09   L5-0R(7)   13
100 2   5   0   6   7   1065.00   0.0110528   45   1.32930e+09   L5-0P(7)   14
101 2   5   0   9   8   1066.90   0.014       17   1.3e+09       L5-0R(8)   15
102 2   5   0   7   8   1072.50   0.011       17   1.3e+09       L5-0P(8)   16
103 2   6   0   1   0   1024.37   0.0287888   1   1.29750e+09   L6-0R(0)   0
104 2   6   0   2   1   1024.99   0.0196883   9   1.29200e+09   L6-0R(1)   1
105 2   6   0   0   1   1025.93   0.00894176   9   1.29330e+09   L6-0P(1)   2
106 2   6   0   3   2   1026.53   0.0179150   5   1.26910e+09   L6-0R(2)   3
107 2   6   0   1   2   1028.10   0.0104586   5   1.29750e+09   L6-0P(2)   4
108 2   6   0   4   3   1028.98   0.0173475   21   1.22430e+09   L6-0R(3)   5
109 2   6   0   2   3   1031.19   0.0111592   21   1.29200e+09   L6-0P(3)   6
110 2   6   0   5   4   1032.35   0.0171849   9   1.19130e+09   L6-0R(4)   7
111 2   6   0   3   4   1035.18   0.0112458   9   1.26910e+09   L6-0P(4)   8
112 2   6   0   6   5   1036.60   0.0169443   33   1.14880e+09   L6-0R(5)   9
113 2   6   0   4   5   1040.06   0.0112783   33   1.22430e+09   L6-0P(5)   10
114 2   6   0   7   6   1041.73   0.0168951   13   1.13100e+09   L6-0R(6)   11
115 2   6   0   5   6   1045.80   0.0112381   13   1.19130e+09   L6-0P(6)   12
116 2   6   0   8   7   1047.71   0.0167858   45   1.10990e+09   L6-0R(7)   13
117 2   6   0   6   7   1052.39   0.0113682   45   1.14880e+09   L6-0P(7)   14
118 2   6   0   9   8   1054.52   0.017       17   1.2e+09       L6-0R(8)   15
119 2   6   0   7   8   1059.80   0.011       17   1.2e+09       L6-0P(8)   16
120 2   7   0   1   0   1012.81   0.0295268   1   1.24320e+09   L7-0R(0)   0
121 2   7   0   2   1   1013.43   0.0205299   9   1.24810e+09   L7-0R(1)   1
122 2   7   0   0   1   1014.33   0.00874069   9   1.23790e+09   L7-0P(1)   2
123 2   7   0   3   2   1014.97   0.0190273   5   1.25870e+09   L7-0R(2)   3
124 2   7   0   1   2   1016.46   0.0102231   5   1.24320e+09   L7-0P(2)   4
125 2   7   0   4   3   1017.42   0.0183566   21   1.25060e+09   L7-0R(3)   5
126 2   7   0   2   3   1019.50   0.0104625   21   1.24810e+09   L7-0P(3)   6
127 2   7   0   5   4   1020.76   0.0181376   9   1.24610e+09   L7-0R(4)   7
128 2   7   0   3   4   1023.43   0.0105034   9   1.25870e+09   L7-0P(4)   8
129 2   7   0   6   5   1024.99   0.0180560   33   1.21640e+09   L7-0R(5)   9
130 2   7   0   4   5   1028.25   0.0105049   33   1.25060e+09   L7-0P(5)   10
131 2   7   0   7   6   1030.07   0.0179873   13   1.06980e+09   L7-0R(6)   11
132 2   7   0   5   6   1033.91   0.0104416   13   1.24610e+09   L7-0P(6)   12
