@3@CO@K@v@J@p
#2264         # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Quantum number
#J            # Quantum number
#p            # Quantum number
# n      g       E(K)        v    J    p
#---data--------------------------------
 163   63.0  97535.030939    1   31    1
 164   63.0  97535.146342    1   31    0
 165   19.0  97572.054852    2    9    0
 166   19.0  97572.126715    2    9    1
 167   21.0  97616.843903    2   10    0
 168   21.0  97616.915758    2   10    1
 169   23.0  97666.078766    2   11    0
 170   23.0  97666.136224    2   11    1
 171   65.0  97679.037811    1   32    1
 172   65.0  97679.268329    1   32    0
 173   89.0  97681.741016    0   44    1
 174   89.0  97681.741506    0   44    0
 175   25.0  97719.773829    2   12    0
 176   25.0  97719.874441    2   12    1
 177   27.0  97777.957867    2   13    0
 178   27.0  97778.000918    2   13    1
 179   67.0  97827.361002    1   33    1
 180   67.0  97827.836125    1   33    0
 181   29.0  97840.602104    2   14    0
 182   29.0  97840.688309    2   14    1
 183   91.0  97885.606270    0   45    1
 184   91.0  97885.606777    0   45    0
 185   31.0  97907.692153    2   15    0
 186   31.0  97907.749574    2   15    1
 187   33.0  97979.213626    2   16    0
 188   33.0  97979.242261    2   16    1
 189   69.0  97987.189175    1   34    1
 190   69.0  97987.189515    1   34    0
 191   35.0  98055.195297    2   17    0
 192   35.0  98055.252699    2   17    1
 193   93.0  98093.824763    0   46    1
 194   93.0  98093.825289    0   46    0
 195   37.0  98135.579617    2   18    0
 196   37.0  98135.680173    2   18    1
 197   71.0  98144.624948    1   35    1
 198   71.0  98144.625301    1   35    0
 199   39.0  98220.452912    2   19    0
 200   39.0  98220.539071    2   19    1
 201   95.0  98306.384821    0   47    1
 202   95.0  98306.385364    0   47    0
 203   73.0  98306.448851    1   36    1
 204   73.0  98306.449218    1   36    0
 205   41.0  98309.700079    2   20    0
 206   41.0  98309.815003    2   20    1
 207   43.0  98403.378668    2   21    0
 208   43.0  98403.507970    2   21    1
 209   75.0  98472.651584    1   37    1
 210   75.0  98472.651966    1   37    0
 211   45.0  98501.359191    2   22    0
 212   45.0  98501.589197    2   22    1
 213   97.0  98523.274512    0   48    1
 214   97.0  98523.275074    0   48    0
 215   47.0  98603.670422    2   23    0
 216   47.0  98604.044296    2   23    1
 217   77.0  98643.223593    1   38    1
 218   77.0  98643.223988    1   38    0
 219   49.0  98710.024606    2   24    0
 220   49.0  98710.916429    2   24    1
 221   99.0  98744.481651    0   49    1
 222   99.0  98744.482232    0   49    0
 223   51.0  98818.004598    2   25    0
 224   79.0  98818.155060    1   39    1
 225   79.0  98818.155470    1   39    0
 226   51.0  98822.076106    2   25    1
 227   53.0  98937.422613    2   26    1
 228   53.0  98940.947858    2   26    0
 229  101.0  98969.993800    0   50    1
 230  101.0  98969.994401    0   50    0
 231   81.0  98997.435912    1   40    1
 232   81.0  98997.436338    1   40    0
 233   55.0  99056.567481    2   27    1
 234   55.0  99059.862532    2   27    0
 235   57.0  99177.410092    2   28    1
 236   83.0  99181.055817    1   41    1
 237   83.0  99181.056259    1   41    0
 238   57.0  99183.985568    2   28    0
 239   59.0  99312.583188    2   29    0
 240   59.0  99317.791284    2   29    1
 241   85.0  99369.004185    1   42    1
 242   85.0  99369.004643    1   42    0
 243    3.0  99407.517303    3    1    1
 244    3.0  99407.517311    3    1    0
 245    5.0  99416.351376    3    2    1
 246    5.0  99416.351393    3    2    0
 247    7.0  99429.573736    3    3    0
 248    7.0  99429.616874    3    3    1
 249   61.0  99445.439575    2   30    0
 250    9.0  99447.241892    3    4    0
 251    9.0  99447.270635    3    4    1
 252   61.0  99448.403168    2   30    1
 253   11.0  99469.327043    3    5    1
 254   11.0  99469.327086    3    5    0
 255   13.0  99495.786102    3    6    1
 256   13.0  99495.814927    3    6    0
 257   15.0  99526.691031    3    7    0
 258   15.0  99526.705359    3    7    1
 259   87.0  99561.270168    1   43    1
 260   87.0  99561.270642    1   43    0
 261   17.0  99561.969715    3    8    1
 262   17.0  99561.984170    3    8    0
 263   63.0  99582.238200    2   31    0
 264   63.0  99585.216168    2   31    1
 265   19.0  99601.694271    3    9    1
 266   19.0  99601.708734    3    9    0
 267   21.0  99645.807088    3   10    1
 268   21.0  99645.821560    3   10    0
 269   23.0  99694.322553    3   11    1
 270   23.0  99694.322647    3   11    0
 271   65.0  99726.834671    2   32    1
 272   65.0  99733.611624    2   32    0
 273   25.0  99747.211892    3   12    1
 274   25.0  99747.240770    3   12    0
 275   89.0  99757.842659    1   44    1
 276   89.0  99757.843149    1   44    0
 277   27.0  99804.547042    3   13    1
 278   27.0  99804.575929    3   13    0
 279   29.0  99866.227289    3   14    1
 280   29.0  99866.241798    3   14    0
 281   67.0  99872.970920    2   33    1
 282   67.0  99874.194207    2   33    0
 283   31.0  99932.324703    3   15    0
 284   31.0  99932.353349    3   15    1
 285   91.0  99958.710292    1   45    1
 286   91.0  99958.710799    1   45    0
 287   33.0 100002.795869    3   16    0
 288   33.0 100002.810117    3   16    1
 289   69.0 100023.044228    2   34    1
 290   69.0 100023.044567    2   34    0
 291   35.0 100077.626370    3   17    1
 292   35.0 100077.655294    3   17    0
 293   37.0 100156.902822    3   18    1
 294   37.0 100156.946144    3   18    0
 295   93.0 100163.861443    1   46    1
 296   93.0 100163.861969    1   46    0
 297   71.0 100178.118298    2   35    1
 298   71.0 100178.118651    2   35    0
 299   39.0 100240.466820    3   19    1
 300   39.0 100240.495763    3   19    0
 301   41.0 100328.462241    3   20    1
 302   41.0 100328.462419    3   20    0
 303   73.0 100337.511404    2   36    1
 304   73.0 100337.511771    2   36    0
 305   95.0 100373.284233    1   47    1
 306   95.0 100373.284776    1   47    0
 307   43.0 100420.773982    3   21    1
 308   43.0 100420.774171    3   21    0
 309   75.0 100501.214108    2   37    1
 310   75.0 100501.214490    2   37    0
 311   45.0 100517.531733    3   22    0
 312   45.0 100517.560310    3   22    1
 313   97.0 100586.966519    1   48    1
 314   97.0 100586.967081    1   48    0
 315   47.0 100618.504901    3   23    0
 316   47.0 100618.533468    3   23    1
 317   77.0 100669.216714    2   38    1
 318   77.0 100669.217110    2   38    0
 319   49.0 100723.866330    3   24    0
 320   49.0 100723.880498    3   24    1
 321   99.0 100804.895905    1   49    1
 322   99.0 100804.896485    1   49    0
 323   51.0 100833.544078    3   25    0
 324   51.0 100833.558234    3   25    1
 325   79.0 100841.509263    2   39    1
 326   79.0 100841.509673    2   39    0
 327   53.0 100947.609842    3   26    1
 328   53.0 100947.682023    3   26    0
 329   81.0 101018.081531    2   40    1
 330   81.0 101018.081957    2   40    0
 331  101.0 101027.059732    1   50    1
 332  101.0 101027.060333    1   50    0
 333   55.0 101065.704403    3   27    1
 334   55.0 101065.934859    3   27    0
 335   57.0 101186.446300    3   28    1
 336   57.0 101188.518404    3   28    0
 337   83.0 101198.923035    2   41    1
 338   83.0 101198.923477    2   41    0
 339   59.0 101315.317553    3   29    0
 340   59.0 101316.295644    3   29    1
 341   85.0 101384.023030    2   42    1
 342   85.0 101384.023487    2   42    0
 343    3.0 101390.540431    4    1    0
 344    3.0 101390.583587    4    1    1
 345    5.0 101399.158697    4    2    0
 346    5.0 101399.230619    4    2    1
 347    7.0 101412.107673    4    3    0
 348    7.0 101412.222750    4    3    1
 349    9.0 101429.372971    4    4    0
 350    9.0 101429.531204    4    4    1
 351   61.0 101445.756795    3   30    0
 352   61.0 101447.267223    3   30    1
 353   11.0 101451.026531    4    5    0
 354   11.0 101451.155979    4    5    1
 355   13.0 101477.010801    4    6    0
 356   13.0 101477.140241    4    6    1
 357   15.0 101507.340169    4    7    0
 358   15.0 101507.455212    4    7    1
 359   17.0 101542.043410    4    8    0
 360   17.0 101542.158445    4    8    1
 361   87.0 101573.370507    2   43    1
 362   87.0 101573.370980    2   43    0
 363   19.0 101581.062974    4    9    0
 364   19.0 101581.178000    4    9    1
 365   63.0 101582.742160    3   31    1
 366   63.0 101584.799912    3   31    0
 367   21.0 101624.470799    4   10    0
 368   21.0 101624.528265    4   10    1
 369   23.0 101672.209334    4   11    0
 370   23.0 101672.238016    4   11    1
 371   65.0 101722.432702    3   32    1
 372   65.0 101723.238731    3   32    0
 373   25.0 101724.278578    4   12    0
 374   25.0 101724.307251    4   12    1
 375   89.0 101766.954195    2   44    1
 376   89.0 101766.954686    2   44    0
 377   27.0 101780.678533    4   13    0
 378   27.0 101780.721584    4   13    1
 379   29.0 101841.394809    4   14    0
 380   29.0 101841.423463    4   14    1
 381   67.0 101866.022316    3   33    1
 382   67.0 101867.303154    3   33    0
 383   31.0 101906.470570    4   15    0
 384   31.0 101906.513603    4   15    1
 385   91.0 101964.762565    2   45    1
 386   91.0 101964.763072    2   45    0
 387   33.0 101975.819490    4   16    0
 388   33.0 101975.862513    4   16    1
 389   69.0 102015.593213    3   34    1
 390   69.0 102015.593552    3   34    0
 391   35.0 102049.527893    4   17    0
 392   35.0 102049.556520    4   17    1
 393   37.0 102127.538231    4   18    0
 394   37.0 102127.552461    4   18    1
 395   93.0 102166.783818    2   46    1
 396   93.0 102166.784344    2   46    0
 397   71.0 102168.289568    3   35    1
 398   71.0 102168.289921    3   35    0
 399   39.0 102209.850503    4   19    0
 400   39.0 102209.864723    4   19    1
 401   41.0 102296.464709    4   20    0
 402   41.0 102296.478918    4   20    1
 403   73.0 102325.235111    3   36    1
 404   73.0 102325.235477    3   36    0
 405   95.0 102373.005901    2   47    1
 406   95.0 102373.006444    2   47    0
 407   43.0 102387.352071    4   21    0
 408   43.0 102387.380658    4   21    1
 409   45.0 102482.541167    4   22    1
 410   45.0 102482.555754    4   22    0
 411   75.0 102486.420244    3   37    1
 412   75.0 102486.420625    3   37    0
 413   47.0 102582.018206    4   23    0
 414   47.0 102582.794937    4   23    1
 415   97.0 102583.416494    2   48    1
 416   97.0 102583.417056    2   48    0
 417   77.0 102651.835104    3   38    1
 418   77.0 102651.835499    3   38    0
 419   49.0 102685.782592    4   24    0
 420   49.0 102685.825536    4   24    1
 421   51.0 102793.776971    4   25    0
 422   51.0 102793.819904    4   25    1
 423   99.0 102798.003017    2   49    1
 424   99.0 102798.003598    2   49    0
 425   79.0 102821.469561    3   39    1
 426   79.0 102821.469971    3   39    0
 427   53.0 102906.058894    4   26    0
 428   53.0 102906.087428    4   26    1
 429   81.0 102995.313217    3   40    1
 430   81.0 102995.313643    3   40    0
 431  101.0 103016.752627    2   50    1
 432  101.0 103016.753228    2   50    0
 433   55.0 103022.599586    4   27    0
 434   55.0 103022.628110    4   27    1
 435   57.0 103143.399048    4   28    0
 436   57.0 103143.413170    4   28    1
 437   83.0 103173.355410    3   41    1
 438   83.0 103173.355851    3   41    0
 439   59.0 103268.414113    4   29    0
 440   59.0 103268.442611    4   29    1
 441    3.0 103321.422267    5    1    1
 442    3.0 103321.422275    5    1    0
 443    5.0 103330.026136    5    2    1
 444    5.0 103330.026153    5    2    0
 445    7.0 103342.903164    5    3    1
 446    7.0 103342.903190    5    3    0
 447   85.0 103355.585209    3   42    1
 448   85.0 103355.585666    3   42    0
 449    9.0 103359.995802    5    4    1
 450    9.0 103359.995835    5    4    0
 451   11.0 103381.390373    5    5    1
 452   11.0 103381.390415    5    5    0
 453   61.0 103397.616007    4   30    0
 454   61.0 103397.687657    4   30    1
 455   13.0 103407.058104    5    6    1
 456   13.0 103407.058154    5    6    0
 457   15.0 103437.042156    5    7    1
 458   15.0 103437.042216    5    7    0
 459   17.0 103471.256205    5    8    1
 460   17.0 103471.256272    5    8    0
 461   19.0 103509.743413    5    9    1
 462   19.0 103509.743488    5    9    0
 463   63.0 103531.062282    4   31    0
 464   63.0 103531.148307    4   31    1
 465   87.0 103541.991418    3   43    1
 466   87.0 103541.991891    3   43    0
 467   21.0 103552.489392    5   10    1
 468   21.0 103552.489476    5   10    0
 469   23.0 103599.522917    5   11    1
 470   23.0 103599.523011    5   11    0
 471   25.0 103650.815213    5   12    1
 472   25.0 103650.815315    5   12    0
 473   65.0 103668.652221    4   32    0
 474   65.0 103668.867725    4   32    1
 475   27.0 103706.409443    5   13    1
 476   27.0 103706.409555    5   13    0
 477   89.0 103732.562572    3   44    1
 478   89.0 103732.563063    3   44    0
 479   29.0 103766.204893    5   14    1
 480   29.0 103766.205014    5   14    0
 481   67.0 103810.241949    4   33    0
 482   67.0 103810.673256    4   33    1
 483   31.0 103830.259113    5   15    1
 484   31.0 103830.403121    5   15    0
 485   33.0 103898.543328    5   16    1
 486   33.0 103898.543468    5   16    0
 487   91.0 103927.286945    3   45    1
 488   91.0 103927.287452    3   45    0
 489   69.0 103958.237675    4   34    1
 490   69.0 103958.238015    4   34    0
 491   35.0 103971.115089    5   17    1
 492   35.0 103971.115238    5   17    0
 493   37.0 104047.888228    5   18    0
 494   37.0 104048.017559    5   18    1
 495   71.0 104108.538085    4   35    1
 496   71.0 104108.538439    4   35    0
 497   93.0 104126.152536    3   46    1
 498   93.0 104126.153062    3   46    0
 499   39.0 104128.934208    5   19    1
 500   39.0 104128.934375    5   19    0
 501   41.0 104214.181743    5   20    0
 502   41.0 104214.224728    5   20    1
 503   73.0 104263.017610    4   36    1
 504   73.0 104263.017976    4   36    0
 505   43.0 104303.644716    5   21    0
 506   43.0 104303.702079    5   21    1
 507   95.0 104329.147086    3   47    1
 508   95.0 104329.147629    3   47    0
 509   45.0 104397.351872    5   22    1
 510   45.0 104397.352071    5   22    0
 511   75.0 104421.666514    4   37    1
 512   75.0 104421.666895    4   37    0
 513   47.0 104495.260436    5   23    1
 514   47.0 104495.260644    5   23    0
 515   97.0 104536.258063    3   48    1
 516   97.0 104536.258625    3   48    0
 517   77.0 104584.474794    4   38    1
 518   77.0 104584.475189    4   38    0
 519   49.0 104597.427768    5   24    1
 520   49.0 104597.427988    5   24    0
 521   51.0 104703.623665    5   25    1
 522   51.0 104703.623896    5   25    0
 523   99.0 104747.472672    3   49    1
 524   99.0 104747.473253    3   49    0
 525   79.0 104751.432176    4   39    1
 526   79.0 104751.432586    4   39    0
 527   53.0 104814.107106    5   26    1
 528   53.0 104814.107348    5   26    0
 529   81.0 104922.528113    4   40    1
 530   81.0 104922.528539    4   40    0
 531   55.0 104928.762989    5   27    1
 532   55.0 104928.763242    5   27    0
 533  101.0 104962.777850    3   50    1
 534  101.0 104962.778450    3   50    0
 535   57.0 105047.533762    5   28    1
 536   57.0 105047.649130    5   28    0
 537   83.0 105097.751792    4   41    1
 538   83.0 105097.752233    4   41    0
 539   59.0 105170.750344    5   29    1
 540   59.0 105170.808172    5   29    0
 541    3.0 105202.695081    6    1    1
 542    3.0 105202.723864    6    1    0
 543    5.0 105211.097538    6    2    0
 544    5.0 105211.140684    6    2    1
 545    7.0 105223.701207    6    3    0
 546    7.0 105223.744345    6    3    1
 547    9.0 105240.448546    6    4    0
 548    9.0 105240.462901    6    4    1
 549   11.0 105261.368288    6    5    1
 550   11.0 105261.397106    6    5    0
 551   85.0 105277.092126    4   42    1
 552   85.0 105277.092583    4   42    0
 553   13.0 105286.302293    6    6    0
 554   13.0 105286.316630    6    6    1
 555   61.0 105297.506306    5   30    1
 556   61.0 105297.621697    5   30    0
 557   15.0 105314.890741    6    7    0
 558   15.0 105314.905069    6    7    1
 559   17.0 105350.672997    6    8    1
 560   17.0 105350.701839    6    8    0
 561   19.0 105387.606325    6    9    1
 562   19.0 105387.750279    6    9    0
 563   63.0 105427.571443    5   31    1
 564   63.0 105428.708377    5   31    0
 565   21.0 105428.769650    6   10    1
 566   21.0 105429.273306    6   10    0
 567   87.0 105460.537759    4   43    1
 568   87.0 105460.538232    4   43    0
 569   23.0 105471.558783    6   11    1
 570   23.0 105474.781737    6   11    0
 571   25.0 105523.829550    6   12    0
 572   25.0 105526.045164    6   12    1
 573   65.0 105561.996374    5   32    0
 574   65.0 105562.830551    5   32    1
 575   27.0 105574.848478    6   13    0
 576   27.0 105578.114390    6   13    1
 577   29.0 105647.938115    6   14    1
 578   89.0 105648.077064    4   44    1
 579   89.0 105648.077555    4   44    0
 580   29.0 105649.017319    6   14    0
 581   67.0 105703.485387    5   33    0
 582   67.0 105704.981389    5   33    1
 583   31.0 105706.985392    6   15    1
 584   31.0 105708.395523    6   15    0
 585   33.0 105774.291238    6   16    1
 586   33.0 105774.406480    6   16    0
