@3@CO@K@v@J@p
#2264         # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Quantum number
#J            # Quantum number
#p            # Quantum number
# n      g       E(K)        v    J    p
#---data--------------------------------
 715   49.0 108271.416894    7   24    0
 716   49.0 108271.531777    7   24    1
 717   97.0 108288.782698    5   48    1
 718   97.0 108288.783260    5   48    0
 719   77.0 108294.650246    6   38    1
 720   77.0 108294.650642    6   38    0
 721   51.0 108374.174125    7   25    0
 722   51.0 108374.346547    7   25    1
 723   79.0 108456.203020    6   39    1
 724   79.0 108456.203430    6   39    0
 725   53.0 108481.611552    7   26    1
 726   53.0 108481.611794    7   26    0
 727   99.0 108493.191732    5   49    1
 728   99.0 108493.192313    5   49    0
 729   55.0 108592.568290    7   27    1
 730   55.0 108592.568542    7   27    0
 731   81.0 108621.752369    6   40    1
 732   81.0 108621.752794    6   40    0
 733  101.0 108701.546178    5   50    1
 734  101.0 108701.546778    5   50    0
 735   57.0 108707.561946    7   28    1
 736   57.0 108707.562211    7   28    0
 737   83.0 108791.287219    6   41    1
 738   83.0 108791.287661    6   41    0
 739    3.0 108821.046482    8    1    1
 740    3.0 108821.046490    8    1    0
 741   59.0 108826.584603    7   29    1
 742   59.0 108826.584880    7   29    0
 743    5.0 108829.118004    8    2    1
 744    5.0 108829.132409    8    2    0
 745    7.0 108841.347583    8    3    1
 746    7.0 108841.347608    8    3    0
 747    9.0 108857.620150    8    4    0
 748    9.0 108857.634505    8    4    1
 749   11.0 108877.921218    8    5    1
 750   11.0 108877.935648    8    5    0
 751   13.0 108902.365988    8    6    1
 752   13.0 108902.394814    8    6    0
 753   15.0 108930.824937    8    7    1
 754   15.0 108930.824997    8    7    0
 755   61.0 108949.628060    7   30    1
 756   61.0 108949.628348    7   30    0
 757   17.0 108963.355616    8    8    1
 758   17.0 108963.355684    8    8    0
 759   85.0 108964.796222    6   42    1
 760   85.0 108964.796679    6   42    0
 761   19.0 108999.900476    8    9    1
 762   19.0 108999.929327    8    9    0
 763   21.0 109040.574616    8   10    1
 764   21.0 109040.589088    8   10    0
 765   63.0 109076.683832    7   31    1
 766   63.0 109076.684133    7   31    0
 767   23.0 109085.262934    8   11    1
 768   23.0 109085.277416    8   11    0
 769   25.0 109134.008595    8   12    1
 770   25.0 109134.023085    8   12    0
 771   87.0 109142.267749    6   43    1
 772   87.0 109142.268223    6   43    0
 773   27.0 109186.768435    8   13    1
 774   27.0 109186.782934    8   13    0
 775   65.0 109207.743151    7   32    1
 776   65.0 109207.743464    7   32    0
 777   29.0 109243.556840    8   14    1
 778   29.0 109243.672064    8   14    0
 779   31.0 109304.215547    8   15    1
 780   31.0 109304.445881    8   15    0
 781   89.0 109323.689896    6   44    1
 782   89.0 109323.690387    6   44    0
 783   67.0 109342.796968    7   33    1
 784   67.0 109342.797294    7   33    0
 785   33.0 109369.277042    8   16    0
 786   33.0 109372.729966    8   16    1
 787   35.0 109437.935338    8   17    0
 788   35.0 109442.467337    8   17    1
 789   69.0 109481.835949    7   34    1
 790   69.0 109481.836288    7   34    0
 791   37.0 109508.809343    8   18    0
 792   91.0 109509.050483    6   45    1
 793   91.0 109509.050990    6   45    0
 794   37.0 109511.787453    8   18    1
 795   39.0 109588.689914    8   19    1
 796   39.0 109589.668449    8   19    0
 797   71.0 109624.850479    7   35    1
 798   71.0 109624.850832    7   35    0
 799   41.0 109670.009409    8   20    1
 800   41.0 109670.009587    8   20    0
 801   93.0 109698.337050    6   46    1
 802   93.0 109698.337576    6   46    0
 803   43.0 109755.420324    8   21    1
 804   43.0 109755.420513    8   21    0
 805   73.0 109771.830660    7   36    1
 806   73.0 109771.831026    7   36    0
 807   45.0 109844.530941    8   22    1
 808   45.0 109844.531140    8   22    0
 809   95.0 109891.536864    6   47    1
 810   95.0 109891.537407    6   47    0
 811   75.0 109922.766308    7   37    1
 812   75.0 109922.766690    7   37    0
 813   47.0 109937.642482    8   23    1
 814   47.0 109937.642690    8   23    0
 815   49.0 110034.748337    8   24    1
 816   49.0 110034.748557    8   24    0
 817   77.0 110077.646963    7   38    1
 818   77.0 110077.647358    7   38    0
 819   97.0 110088.636912    6   48    1
 820   97.0 110088.637475    6   48    0
 821   51.0 110135.841611    8   25    1
 822   51.0 110135.841842    8   25    0
 823   79.0 110236.461875    7   39    1
 824   79.0 110236.462285    7   39    0
 825   53.0 110240.915122    8   26    1
 826   53.0 110240.915364    8   26    0
 827   99.0 110289.623908    6   49    1
 828   99.0 110289.624489    6   49    0
 829   55.0 110349.961401    8   27    1
 830   55.0 110349.961653    8   27    0
 831   81.0 110399.200015    7   40    1
 832   81.0 110399.200441    7   40    0
 833   57.0 110462.972689    8   28    1
 834   57.0 110462.972954    8   28    0
 835  101.0 110494.484284    6   50    1
 836  101.0 110494.484885    6   50    0
 837    3.0 110555.851802    9    1    1
 838    3.0 110555.851809    9    1    0
 839    5.0 110563.793833    9    2    1
 840    5.0 110563.793850    9    2    0
 841   83.0 110565.850070    7   41    1
 842   83.0 110565.850511    7   41    0
 843    7.0 110575.735657    9    3    1
 844    7.0 110575.735682    9    3    0
 845   59.0 110579.940942    8   29    1
 846   59.0 110579.941218    8   29    0
 847    9.0 110591.806762    9    4    1
 848    9.0 110591.806795    9    4    0
 849   11.0 110611.748169    9    5    1
 850   11.0 110611.748211    9    5    0
 851   13.0 110635.804470    9    6    1
 852   13.0 110635.804520    9    6    0
 853   15.0 110663.745458    9    7    1
 854   15.0 110663.745518    9    7    0
 855   17.0 110695.715015    9    8    1
 856   17.0 110695.715083    9    8    0
 857   61.0 110700.857829    8   30    1
 858   61.0 110700.858117    8   30    0
 859   19.0 110731.684363    9    9    1
 860   19.0 110731.684439    9    9    0
 861   85.0 110736.400445    7   42    1
 862   85.0 110736.400902    7   42    0
 863   21.0 110771.725442    9   10    1
 864   21.0 110771.725526    9   10    0
 865   23.0 110815.608045    9   11    1
 866   23.0 110815.608139    9   11    0
 867   63.0 110825.714730    8   31    1
 868   63.0 110825.715031    8   31    0
 869   25.0 110863.547991    9   12    1
 870   25.0 110863.548093    9   12    0
 871   87.0 110910.839262    7   43    1
 872   87.0 110910.839736    7   43    0
 873   27.0 110915.473340    9   13    1
 874   27.0 110915.473452    9   13    0
 875   65.0 110954.502739    8   32    1
 876   65.0 110954.503053    8   32    0
 877   29.0 110971.326541    9   14    1
 878   29.0 110971.326662    9   14    0
 879   31.0 111031.193920    9   15    1
 880   31.0 111031.194050    9   15    0
 881   67.0 111087.212663    8   33    1
 882   67.0 111087.212989    8   33    0
 883   89.0 111089.154360    7   44    1
 884   89.0 111089.154851    7   44    0
 885   33.0 111095.061090    9   16    1
 886   33.0 111095.061230    9   16    0
 887   35.0 111162.884887    9   17    1
 888   35.0 111162.885036    9   17    0
 889   69.0 111223.835019    8   34    1
 890   69.0 111223.835359    8   34    0
 891   37.0 111234.607760    9   18    1
 892   37.0 111234.607918    9   18    0
 893   91.0 111271.333295    7   45    1
 894   91.0 111271.333802    7   45    0
 895   39.0 111310.359200    9   19    1
 896   39.0 111310.359367    9   19    0
 897   71.0 111364.360041    8   35    1
 898   71.0 111364.360394    8   35    0
 899   41.0 111390.009714    9   20    1
 900   41.0 111390.009892    9   20    0
 901   93.0 111457.363339    7   46    1
 902   93.0 111457.363865    7   46    0
 903   43.0 111473.602467    9   21    1
 904   43.0 111473.602655    9   21    0
 905   73.0 111508.777672    8   36    1
 906   73.0 111508.778038    8   36    0
 907   45.0 111561.123070    9   22    1
 908   45.0 111561.123269    9   22    0
 909   95.0 111647.231484    7   47    1
 910   95.0 111647.232027    7   47    0
 911   47.0 111652.571526    9   23    1
 912   47.0 111652.571734    9   23    0
 913   75.0 111657.077568    8   37    1
 914   75.0 111657.077950    8   37    0
 915   49.0 111747.990994    9   24    1
 916   49.0 111747.991213    9   24    0
 917   77.0 111809.249101    8   38    1
 918   77.0 111809.249496    8   38    0
 919   97.0 111840.924438    7   48    1
 920   97.0 111840.925000    7   48    0
 921   51.0 111847.295149    9   25    1
 922   51.0 111847.295380    9   25    0
 923   53.0 111950.570317    9   26    1
 924   53.0 111950.570559    9   26    0
 925   79.0 111965.281353    8   39    1
 926   79.0 111965.281763    8   39    0
 927   99.0 112038.428624    7   49    1
 928   99.0 112038.429205    7   49    0
 929   55.0 112057.643846    9   27    1
 930   55.0 112057.644098    9   27    0
 931   81.0 112125.163117    8   40    1
 932   81.0 112125.163543    8   40    0
 933   57.0 112168.544509    9   28    1
 934   57.0 112168.544774    9   28    0
 935  101.0 112239.730186    7   50    1
 936  101.0 112239.730786    7   50    0
 937    3.0 112240.861051   10    1    1
 938    3.0 112240.861058   10    1    0
 939    5.0 112248.803082   10    2    1
 940    5.0 112248.803099   10    2    0
 941    7.0 112260.500314   10    3    1
 942    7.0 112260.500339   10    3    0
 943    9.0 112276.298052   10    4    1
 944    9.0 112276.298085   10    4    0
 945   59.0 112283.962920    9   29    1
 946   59.0 112283.963197    9   29    0
 947   83.0 112288.882903    8   41    1
 948   83.0 112288.883345    8   41    0
 949   11.0 112295.966090   10    5    1
 950   11.0 112295.966133   10    5    0
 951   13.0 112319.561983   10    6    1
 952   13.0 112319.562033   10    6    0
 953   15.0 112347.100114   10    7    1
 954   15.0 112347.100174   10    7    0
 955   17.0 112378.479772   10    8    1
 956   17.0 112378.479839   10    8    0
 957   61.0 112402.460591    9   30    0
 958   61.0 112402.503466    9   30    1
 959   19.0 112413.816058   10    9    1
 960   19.0 112413.816134   10    9    0
 961   21.0 112452.993870   10   10    1
 962   21.0 112452.993955   10   10    0
 963   85.0 112456.428931    8   42    1
 964   85.0 112456.429389    8   42    0
 965   23.0 112496.157086   10   11    1
 966   23.0 112496.157179   10   11    0
 967   63.0 112524.996518    9   31    1
 968   63.0 112524.996819    9   31    0
 969   25.0 112543.190602   10   12    1
 970   25.0 112543.190704   10   12    0
 971   27.0 112594.051367   10   13    0
 972   27.0 112594.180746   10   13    1
 973   87.0 112627.789135    8   43    1
 974   87.0 112627.789608    8   43    0
 975   29.0 112648.710393   10   14    0
 976   29.0 112648.954864   10   14    1
 977   65.0 112651.482786    9   32    1
 978   65.0 112651.483100    9   32    0
 979   31.0 112706.520330   10   15    0
 980   31.0 112707.671222   10   15    1
 981   33.0 112770.056451   10   16    1
 982   33.0 112772.646389   10   16    0
 983   67.0 112781.817311    9   33    1
 984   67.0 112781.817637    9   33    0
 985   89.0 112802.951159    8   44    1
 986   89.0 112802.951650    8   44    0
 987   35.0 112835.952287   10   17    1
 988   35.0 112838.053050   10   17    0
 989   37.0 112908.150115   10   18    0
 990   69.0 112915.990452    9   34    1
 991   69.0 112915.990791    9   34    0
 992   37.0 112917.142312   10   18    1
 993   91.0 112981.902363    8   45    1
 994   91.0 112981.902870    8   45    0
 995   39.0 112982.117480   10   19    0
 996   39.0 112984.980479   10   19    1
 997   71.0 113053.992276    9   35    1
 998   71.0 113053.992629    9   35    0
 999   41.0 113059.106268   10   20    0
1000   41.0 113061.983643   10   20    1
1001   43.0 113141.360968   10   21    0
1002   43.0 113143.648435   10   21    1
1003   93.0 113164.629817    8   46    1
1004   93.0 113164.630344    8   46    0
1005   73.0 113195.812558    9   36    1
1006   73.0 113195.812925    9   36    0
1007   45.0 113229.255465   10   22    1
1008   45.0 113230.823931   10   22    0
1009   47.0 113319.567495   10   23    0
1010   47.0 113319.840655   10   23    1
1011   75.0 113341.440782    9   37    1
1012   75.0 113341.441163    9   37    0
1013   95.0 113351.120308    8   47    1
1014   95.0 113351.120851    8   47    0
1015   49.0 113412.900529   10   24    1
1016   49.0 113413.059014   10   24    0
1017   77.0 113490.866138    9   38    1
1018   77.0 113490.866533    9   38    0
1019   51.0 113510.305498   10   25    1
1020   51.0 113510.305729   10   25    0
1021   97.0 113541.360329    8   48    1
1022   97.0 113541.360891    8   48    0
1023   53.0 113611.508827   10   26    1
1024   53.0 113611.509069   10   26    0
1025   79.0 113644.077525    9   39    1
1026   79.0 113644.077935    9   39    0
1027   55.0 113716.323477   10   27    1
1028   55.0 113716.323729   10   27    0
1029   99.0 113735.336091    8   49    1
1030   99.0 113735.336672    8   49    0
1031   81.0 113801.063550    9   40    1
1032   81.0 113801.063976    9   40    0
1033   57.0 113820.620419   10   28    0
1034   57.0 113822.591278   10   28    1
1035    3.0 113878.390660   11    1    1
1036    3.0 113878.390668   11    1    0
1037    5.0 113886.088099   11    2    1
1038    5.0 113886.088117   11    2    0
1039    7.0 113897.670229   11    3    1
1040    7.0 113897.670254   11    3    0
1041    9.0 113913.108272   11    4    1
1042    9.0 113913.108305   11    4    0
1043   11.0 113932.416617   11    5    1
1044   11.0 113932.416659   11    5    0
1045  101.0 113933.033516    8   50    1
1046  101.0 113933.034117    8   50    0
1047   59.0 113938.441599   10   29    0
1048   59.0 113938.455710   10   29    1
1049   13.0 113955.494549   11    6    1
1050   13.0 113955.494599   11    6    0
1051   83.0 113961.812526    9   41    1
1052   83.0 113961.812968    9   41    0
1053   15.0 113982.457170   11    7    1
1054   15.0 113982.457230   11    7    0
1055   17.0 114013.304481   11    8    1
1056   17.0 114013.304548   11    8    0
1057   19.0 114048.050868   11    9    1
1058   19.0 114048.050944   11    9    0
1059   61.0 114054.823702   10   30    1
1060   61.0 114055.672869   10   30    0
1061   21.0 114086.566843   11   10    1
1062   21.0 114086.566928   11   10    0
1063   85.0 114126.312478    9   42    1
1064   85.0 114126.312935    9   42    0
1065   23.0 114130.190467   11   11    1
1066   23.0 114130.190561   11   11    0
1067   63.0 114175.270110   10   31    1
1068   63.0 114175.270411   10   31    0
1069   25.0 114175.396736   11   12    1
1070   25.0 114175.396839   11   12    0
1071   27.0 114225.063206   11   13    1
1072   27.0 114225.063317   11   13    0
1073   29.0 114278.988445   11   14    1
1074   29.0 114278.988566   11   14    0
1075   87.0 114294.551134    9   43    1
1076   87.0 114294.551607    9   43    0
1077   65.0 114299.482262   10   32    1
1078   65.0 114299.482575   10   32    0
1079   31.0 114336.323577   11   15    1
1080   31.0 114336.323707   11   15    0
1081   33.0 114396.248498   11   16    1
1082   33.0 114396.248638   11   16    0
1083   67.0 114427.469876   10   33    1
1084   67.0 114427.470202   10   33    0
1085   35.0 114466.043419   11   17    1
1086   35.0 114466.043568   11   17    0
1087   89.0 114466.515932    9   44    1
1088   89.0 114466.516423    9   44    0
1089   37.0 114534.183738   11   18    1
1090   37.0 114534.183896   11   18    0
1091   69.0 114559.223151   10   34    1
1092   69.0 114559.223491   10   34    0
1093   39.0 114606.856195   11   19    1
1094   39.0 114606.856362   11   19    0
1095   91.0 114642.194020    9   45    1
1096   91.0 114642.194527    9   45    0
1097   41.0 114683.499665   11   20    1
1098   41.0 114683.499843   11   20    0
1099   71.0 114694.731992   10   35    1
1100   71.0 114694.732345   10   35    0
1101   43.0 114764.128537   11   21    1
1102   43.0 114764.128726   11   21    0
1103   93.0 114821.572248    9   46    1
1104   93.0 114821.572774    9   46    0
1105   73.0 114833.986004   10   36    1
1106   73.0 114833.986370   10   36    0
1107   45.0 114848.411893   11   22    1
1108   45.0 114848.412092   11   22    0
1109   47.0 114936.464835   11   23    1
1110   47.0 114936.465043   11   23    0
1111   75.0 114976.974495   10   37    1
1112   75.0 114976.974877   10   37    0
1113   95.0 115004.637182    9   47    1
1114   95.0 115004.637725    9   47    0
1115   49.0 115028.460014   11   24    1
1116   49.0 115028.460233   11   24    0
1117   77.0 115123.686479   10   38    1
1118   77.0 115123.686874   10   38    0
1119   51.0 115124.037736   11   25    1
1120   51.0 115124.037967   11   25    0
1121   97.0 115191.375088    9   48    1
1122   97.0 115191.375650    9   48    0
1123   53.0 115223.600860   11   26    1
1124   53.0 115223.601102   11   26    0
1125   79.0 115274.110669   10   39    1
1126   79.0 115274.111079   10   39    0
1127   55.0 115326.674589   11   27    1
1128   55.0 115326.674841   11   27    0
1129   99.0 115381.771946    9   49    1
1130   99.0 115381.772526    9   49    0
1131   81.0 115428.235484   10   40    1
1132   81.0 115428.235910   10   40    0
1133   57.0 115433.935147   11   28    1
1134   57.0 115433.935412   11   28    0
1135    3.0 115466.210525   12    1    1
1136    3.0 115466.210533   12    1    0
1137    5.0 115473.850413   12    2    1
1138    5.0 115473.850431   12    2    0
1139    7.0 115485.202338   12    3    1
1140    7.0 115485.202364   12    3    0
1141    9.0 115500.323851   12    4    1
1142    9.0 115500.323884   12    4    0
1143   11.0 115519.186175   12    5    1
1144   11.0 115519.186217   12    5    0
1145   13.0 115541.961964   12    6    1
1146   13.0 115541.962014   12    6    0
1147   59.0 115544.663145   11   29    1
1148   59.0 115544.663421   11   29    0
1149   15.0 115568.435401   12    7    1
1150   15.0 115568.435460   12    7    0
1151  101.0 115575.813438    9   50    1
1152  101.0 115575.814039    9   50    0
1153   83.0 115586.049045   10   41    1
1154   83.0 115586.049487   10   41    0
1155   17.0 115598.649649   12    8    1
1156   17.0 115598.649717   12    8    0
1157   19.0 115632.748588   12    9    1
1158   19.0 115632.748663   12    9    0
1159   61.0 115659.131951   11   30    1
1160   61.0 115659.132240   11   30    0
1161   21.0 115670.559562   12   10    1
1162   21.0 115670.559646   12   10    0
1163   23.0 115712.154510   12   11    1
1164   23.0 115712.154604   12   11    0
1165   85.0 115747.539177   10   42    1
1166   85.0 115747.539634   10   42    0
1167   25.0 115757.533433   12   12    1
1168   25.0 115757.533535   12   12    0
1169   63.0 115777.062672   11   31    1
1170   63.0 115777.062973   11   31    0
1171   27.0 115806.624391   12   13    1
1172   27.0 115806.624503   12   13    0
1173   29.0 115859.484935   12   14    1
1174   29.0 115859.485057   12   14    0
1175   65.0 115898.954578   11   32    1
1176   65.0 115898.954891   11   32    0
1177   87.0 115912.693406   10   43    1
1178   87.0 115912.693880   10   43    0
1179   31.0 115916.115067   12   15    1
1180   31.0 115916.115197   12   15    0
1181   33.0 115976.543559   12   16    1
1182   33.0 115976.543699   12   16    0
1183   67.0 116024.547463   11   33    1
1184   67.0 116024.547789   11   33    0
1185   35.0 116040.597761   12   17    1
1186   35.0 116040.597910   12   17    0
1187   89.0 116081.498962   10   44    1
1188   89.0 116081.499453   10   44    0
1189   37.0 116108.637365   12   18    1
1190   37.0 116108.637523   12   18    0
1191   69.0 116153.831345   11   34    1
1192   69.0 116153.831684   11   34    0
1193   39.0 116180.058086   12   19    1
1194   39.0 116180.058253   12   19    0
1195   91.0 116253.942780   10   45    1
1196   91.0 116253.943287   10   45    0
1197   41.0 116255.723188   12   20    1
1198   41.0 116255.723366   12   20    0
1199   71.0 116286.795939   11   35    1
1200   71.0 116286.796292   11   35    0
1201   43.0 116334.337773   12   21    1
1202   43.0 116334.337961   12   21    0
1203   45.0 116417.067249   12   22    1
1204   45.0 116417.067448   12   22    0
1205   73.0 116423.430657   11   36    1
1206   73.0 116423.431024   11   36    0
1207   93.0 116430.011494   10   46    1
1208   93.0 116430.012020   10   46    0
1209   47.0 116503.465597   12   23    1
1210   47.0 116503.465805   12   23    0
1211   75.0 116563.724610   11   37    1
1212   75.0 116563.724991   11   37    0
1213   49.0 116593.662305   12   24    1
1214   49.0 116594.151709   12   24    0
1215   95.0 116609.691444   10   47    1
1216   95.0 116609.691987   10   47    0
1217   51.0 116687.182577   12   25    1
1218   51.0 116688.607197   12   25    0
1219   77.0 116707.666605   11   38    1
1220   77.0 116707.667000   11   38    0
1221   53.0 116783.853759   12   26    1
1222   53.0 116785.609309   12   26    0
1223   97.0 116792.968672   10   48    1
1224   97.0 116792.969234   10   48    0
1225   79.0 116855.245148   11   39    1
1226   79.0 116855.245558   11   39    0
1227   55.0 116887.589578   12   27    0
1228   55.0 116888.740347   12   27    1
1229   99.0 116979.828925   10   49    1
1230   99.0 116979.829505   10   49    0
1231   57.0 116991.497532   12   28    1
1232   57.0 116991.497798   12   28    0
1233    3.0 117005.313402   13    1    1
1234    3.0 117005.313410   13    1    0
1235   81.0 117006.448440   11   40    1
1236   81.0 117006.448866   11   40    0
1237    5.0 117012.823801   13    2    1
1238    5.0 117012.823818   13    2    0
1239    7.0 117023.816032   13    3    1
1240    7.0 117023.816057   13    3    0
1241    9.0 117038.649789   13    4    1
1242    9.0 117038.649822   13    4    0
1243   11.0 117057.166806   13    5    1
1244   11.0 117057.166849   13    5    0
1245   13.0 117079.439024   13    6    1
1246   13.0 117079.439074   13    6    0
1247   59.0 117099.491854   12   29    1
1248   59.0 117099.492131   12   29    0
1249   15.0 117105.336949   13    7    1
1250   15.0 117105.337009   13    7    0
1251   17.0 117135.033238   13    8    1
1252   17.0 117135.033306   13    8    0
1253   83.0 117161.264382   11   41    1
1254   83.0 117161.264824   11   41    0
1255   19.0 117168.312074   13    9    1
1256   19.0 117168.312149   13    9    0
1257  101.0 117170.257648   10   50    1
1258  101.0 117170.258249   10   50    0
1259   21.0 117205.418047   13   10    1
1260   21.0 117205.418132   13   10    0
1261   61.0 117212.680149   12   30    1
1262   61.0 117212.680438   12   30    0
1263   23.0 117246.164117   13   11    1
1264   23.0 117246.164211   13   11    0
1265   25.0 117290.694161   13   12    1
1266   25.0 117290.694264   13   12    0
1267   85.0 117319.680572   11   42    1
1268   85.0 117319.681029   11   42    0
1269   63.0 117328.461207   12   31    1
1270   63.0 117328.461507   12   31    0
1271   27.0 117338.792364   13   13    1
1272   27.0 117338.792475   13   13    0
1273   29.0 117390.789642   13   14    1
1274   29.0 117390.789763   13   14    0
1275   31.0 117446.168037   13   15    1
1276   31.0 117446.168167   13   15    0
1277   65.0 117447.982177   12   32    1
1278   65.0 117447.982491   12   32    0
1279   87.0 117481.684305   11   43    1
1280   87.0 117481.684779   11   43    0
1281   33.0 117505.344794   13   16    1
1282   33.0 117505.344934   13   16    0
1283   35.0 117568.204811   13   17    1
1284   35.0 117568.204959   13   17    0
1285   67.0 117571.127937   12   33    1
1286   67.0 117571.128263   12   33    0
1287   37.0 117634.704923   13   18    1
1288   37.0 117634.705082   13   18    0
1289   89.0 117647.262573   11   44    1
1290   89.0 117647.263063   11   44    0
1291   69.0 117697.888310   12   34    1
1292   69.0 117697.888649   12   34    0
1293   39.0 117704.945847   13   19    1
1294   39.0 117704.946014   13   19    0
1295   41.0 117778.740539   13   20    1
1296   41.0 117778.740717   13   20    0
1297   91.0 117816.402067   11   45    1
1298   91.0 117816.402573   11   45    0
1299   71.0 117828.252810   12   35    1
1300   71.0 117828.253164   12   35    0
1301   43.0 117856.189714   13   21    1
1302   43.0 117856.189903   13   21    0
1303   45.0 117937.883271   13   22    1
1304   45.0 117937.883470   13   22    0
1305   73.0 117962.210647   12   36    1
1306   73.0 117962.211014   12   36    0
1307   93.0 117989.089172   11   46    1
1308   93.0 117989.089698   11   46    0
1309   47.0 118022.296107   13   23    1
1310   47.0 118022.296315   13   23    0
1311   75.0 118099.750717   12   37    1
1312   75.0 118099.751099   12   37    0
1313   49.0 118110.492915   13   24    1
1314   49.0 118110.493135   13   24    0
1315   95.0 118165.309976   11   47    1
1316   95.0 118165.310519   11   47    0
1317   51.0 118202.200328   13   25    1
1318   51.0 118202.200559   13   25    0
1319   77.0 118240.861612   12   38    1
1320   77.0 118240.862008   12   38    0
1321   53.0 118298.929061   13   26    1
1322   53.0 118298.929303   13   26    0
1323   97.0 118345.050261   11   48    1
1324   97.0 118345.050823   11   48    0
1325   79.0 118385.531615   12   39    1
1326   79.0 118385.532025   12   39    0
1327   55.0 118397.643296   13   27    1
1328   55.0 118397.643548   13   27    0
1329    3.0 118493.282147   14    1    1
1330    3.0 118493.282155   14    1    0
1331   57.0 118500.299767   13   28    1
1332   57.0 118500.300032   13   28    0
1333    5.0 118500.303361   14    2    1
1334    5.0 118500.303378   14    2    0
1335    7.0 118511.194877   14    3    1
1336    7.0 118511.194902   14    3    0
1337    9.0 118525.913533   14    4    1
1338    9.0 118525.913566   14    4    0
1339   99.0 118528.295506   11   49    1
1340   99.0 118528.296087   11   49    0
1341   81.0 118533.748697   12   40    1
1342   81.0 118533.749122   12   40    0
1343   11.0 118544.114019   14    5    1
1344   11.0 118544.114061   14    5    0
1345   13.0 118565.940216   14    6    1
1346   13.0 118565.940266   14    6    0
1347   15.0 118591.507222   14    7    1
1348   15.0 118591.507282   14    7    0
1349   59.0 118606.711434   13   29    1
1350   59.0 118606.711711   13   29    0
1351   17.0 118620.570450   14    8    1
1352   17.0 118620.570517   14    8    0
1353   19.0 118653.201835   14    9    1
1354   19.0 118653.201911   14    9    0
1355   83.0 118685.500524   12   41    1
1356   83.0 118685.500965   12   41    0
1357   21.0 118689.473318   14   10    1
1358   21.0 118689.473402   14   10    0
1359  101.0 118715.030890   11   50    1
1360  101.0 118715.031490   11   50    0
1361   61.0 118716.705645   13   30    1
1362   61.0 118716.705933   13   30    0
1363   23.0 118729.514387   14   11    1
1364   23.0 118729.514481   14   11    0
1365   25.0 118772.893410   14   12    1
1366   25.0 118772.893512   14   12    0
1367   27.0 118820.113958   14   13    1
1368   27.0 118820.114070   14   13    0
1369   63.0 118830.442697   13   31    1
1370   63.0 118830.442998   13   31    0
1371   85.0 118840.774454   12   42    1
1372   85.0 118840.774911   12   42    0
1373   29.0 118870.902664   14   14    1
1374   29.0 118870.902785   14   14    0
1375   31.0 118925.288303   14   15    1
1376   31.0 118925.288433   14   15    0
1377   65.0 118947.552917   13   32    1
1378   65.0 118947.553230   13   32    0
1379   33.0 118983.270875   14   16    1
1380   33.0 118983.271015   14   16    0
1381   87.0 118999.557535   12   43    1
1382   87.0 118999.558009   12   43    0
1383   35.0 119044.850380   14   17    1
1384   35.0 119044.850529   14   17    0
1385   67.0 119068.209874   13   33    1
1386   67.0 119068.210200   13   33    0
1387   37.0 119110.141920   14   18    1
1388   37.0 119110.142079   14   18    0
1389   89.0 119161.836507   12   44    1
1390   89.0 119161.836998   12   44    0
1391   39.0 119178.929679   14   19    1
1392   39.0 119178.929847   14   19    0
1393   69.0 119192.403141   13   34    1
1394   69.0 119192.403480   13   34    0
1395   41.0 119250.839573   14   20    1
1396   41.0 119250.839752   14   20    0
1397   71.0 119320.121975   13   35    1
1398   71.0 119320.122329   13   35    0
1399   43.0 119326.835584   14   21    1
1400   43.0 119326.835772   14   21    0
1401   91.0 119327.597803   12   45    1
1402   91.0 119327.598310   12   45    0
1403   45.0 119405.853016   14   22    1
1404   45.0 119405.853215   14   22    0
1405   73.0 119451.355319   13   36    1
1406   73.0 119451.355686   13   36    0
1407   47.0 119489.604014   14   23    1
1408   47.0 119489.604223   14   23    0
1409   93.0 119496.827544   12   46    1
1410   93.0 119496.828070   12   46    0
1411   49.0 119575.959188   14   24    1
1412   49.0 119575.959407   14   24    0
1413   75.0 119586.091796   13   37    1
1414   75.0 119586.092178   13   37    0
1415   51.0 119665.983231   14   25    1
1416   51.0 119665.983462   14   25    0
1417   95.0 119669.511547   12   47    1
1418   95.0 119669.512090   12   47    0
1419   77.0 119724.319717   13   38    1
1420   77.0 119724.320112   13   38    0
1421   53.0 119759.546655   14   26    1
1422   53.0 119759.546897   14   26    0
1423   97.0 119845.635318   12   48    1
1424   97.0 119845.635881   12   48    0
1425   55.0 119856.721399   14   27    1
1426   55.0 119856.721651   14   27    0
1427   79.0 119866.027075   13   39    1
1428   79.0 119866.027485   13   39    0
1429    3.0 119930.231860   15    1    1
1430    3.0 119930.231868   15    1    0
1431    5.0 119937.109196   15    2    1
1432    5.0 119937.137989   15    2    0
1433    7.0 119947.511529   15    3    1
1434    7.0 119947.511554   15    3    0
1435   57.0 119958.097358   14   28    1
1436   57.0 119958.097624   14   28    0
1437    9.0 119961.899265   15    4    1
1438    9.0 119961.899298   15    4    0
1439   11.0 119979.193365   15    5    0
1440   11.0 119979.610568   15    5    1
1441   13.0 119999.638343   15    6    0
1442   13.0 120000.587886   15    6    1
1443   81.0 120011.201547   13   40    1
1444   81.0 120011.201972   13   40    0
1445   99.0 120025.184056   12   49    1
