Proba d'emission B-X
  vu      ju      vl      jl     Proba d'emission(s-1)
 10       0      10       1      0.537764D+08
 11       0      10       1      0.105609D+08
  8       0      11       1      0.609008D+08
  9       0      11       1      0.161075D+07
 10       0      11       1      0.244612D+08
 11       0      11       1      0.555616D+08
  8       0      12       1      0.344551D+08
  9       0      12       1      0.672370D+08
 10       0      12       1      0.171153D+08
 11       0      12       1      0.316683D+07
  8       0      13       1      0.209778D+08
  9       0      13       1      0.158562D+08
 10       0      13       1      0.548784D+08
 11       0      13       1      0.265082D+08
  8       0      14       1      0.475720D+08
  9       0      14       1      0.197496D+08
 10       0      14       1      0.126839D+08
 11       0      14       1      0.397839D+08
  8       0      15       1      0.183855D+09
  9       0      15       1      0.181210D+07
 10       0      15       1      0.237802D+08
 11       0      15       1      0.279240D+08
  8       0      16       1      0.547970D+08
  9       0      16       1      0.216148D+09
 10       0      16       1      0.332378D+08
 11       0      16       1      0.507991D+08
  8       0      17       1      0.627313D+07
  9       0      17       1      0.919352D+07
 10       0      17       1      0.148678D+03
 11       0      17       1      0.434049D+04
 12       0       0       1      0.124378D+09
 13       0       0       1      0.110358D+09
 14       0       0       1      0.965176D+08
 15       0       0       1      0.834485D+08
 12       0       1       1      0.115443D+08
 13       0       1       1      0.231931D+08
 14       0       1       1      0.349970D+08
 15       0       1       1      0.452830D+08
 12       0       2       1      0.606769D+08
 13       0       2       1      0.407178D+08
 14       0       2       1      0.231565D+08
 15       0       2       1      0.103020D+08
 12       0       3       1      0.219457D+08
 13       0       3       1      0.395188D+08
 14       0       3       1      0.520315D+08
 15       0       3       1      0.569596D+08
 12       0       4       1      0.389550D+08
 13       0       4       1      0.158803D+08
 14       0       4       1      0.255588D+07
 15       0       4       1      0.416280D+06
 12       0       5       1      0.341443D+08
 13       0       5       1      0.521010D+08
 14       0       5       1      0.558949D+08
 15       0       5       1      0.468151D+08
 12       0       6       1      0.209188D+08
 13       0       6       1      0.203578D+07
 14       0       6       1      0.242713D+07
 15       0       6       1      0.156666D+08
 12       0       7       1      0.479045D+08
 13       0       7       1      0.558590D+08
 14       0       7       1      0.421802D+08
 15       0       7       1      0.204340D+08
 12       0       8       1      0.455695D+07
 13       0       8       1      0.293645D+07
 14       0       8       1      0.218317D+08
 15       0       8       1      0.398914D+08
 12       0       9       1      0.561439D+08
 13       0       9       1      0.400641D+08
 14       0       9       1      0.130380D+08
 15       0       9       1      0.146084D+06
 12       0      10       1      0.248007D+07
 13       0      10       1      0.266973D+08
 14       0      10       1      0.445979D+08
 15       0      10       1      0.382698D+08
 12       0      11       1      0.370379D+08
 13       0      11       1      0.600892D+07
 14       0      11       1      0.238519D+07
 15       0      11       1      0.205996D+08
 12       0      12       1      0.337303D+08
 13       0      12       1      0.434086D+08
 14       0      12       1      0.217506D+08
 15       0      12       1      0.196930D+07
 12       0      13       1      0.592589D+05
 13       0      13       1      0.160057D+08
 14       0      13       1      0.344759D+08
 15       0      13       1      0.276493D+08
 12       0      14       1      0.242089D+08
 13       0      14       1      0.798447D+06
 14       0      14       1      0.814344D+07
 15       0      14       1      0.240831D+08
 12       0      15       1      0.191414D+08
 13       0      15       1      0.180195D+08
 14       0      15       1      0.313409D+05
 15       0      15       1      0.543476D+07
 12       0      16       1      0.973629D+08
 13       0      16       1      0.163381D+07
 14       0      16       1      0.302591D+08
 15       0      16       1      0.110324D+08
 12       0      17       1      0.334405D+03
 13       0      17       1      0.565987D+07
 14       0      17       1      0.196468D+07
 15       0      17       1      0.529743D+07
 16       0       0       1      0.714945D+08
 17       0       0       1      0.608139D+08
 18       0       0       1      0.514409D+08
 19       0       0       1      0.433291D+08
 16       0       1       1      0.531971D+08
 17       0       1       1      0.584820D+08
 18       0       1       1      0.612674D+08
 19       0       1       1      0.618979D+08
 16       0       2       1      0.276911D+07
 17       0       2       1      0.551284D+05
 18       0       2       1      0.108788D+07
 19       0       2       1      0.463467D+07
 16       0       3       1      0.547263D+08
 17       0       3       1      0.473469D+08
 18       0       3       1      0.372813D+08
 19       0       3       1      0.267049D+08
 16       0       4       1      0.663229D+07
 17       0       4       1      0.168441D+08
 18       0       4       1      0.271141D+08
 19       0       4       1      0.348408D+08
 16       0       5       1      0.312263D+08
 17       0       5       1      0.158154D+08
 18       0       5       1      0.497806D+07
 19       0       5       1      0.271388D+06
 16       0       6       1      0.311092D+08
 17       0       6       1      0.408519D+08
 18       0       6       1      0.420685D+08
 19       0       6       1      0.360602D+08
 16       0       7       1      0.440297D+07
 17       0       7       1      0.103706D+06
 18       0       7       1      0.589948D+07
 19       0       7       1      0.163708D+08
 16       0       8       1      0.440078D+08
 17       0       8       1      0.344483D+08
 18       0       8       1      0.191341D+08
 19       0       8       1      0.628184D+07
 16       0       9       1      0.640593D+07
 17       0       9       1      0.214825D+08
 18       0       9       1      0.330106D+08
 19       0       9       1      0.348913D+08
 16       0      10       1      0.183659D+08
 17       0      10       1      0.295076D+07
 18       0      10       1      0.748912D+06
 19       0      10       1      0.906289D+07
 16       0      11       1      0.351968D+08
 17       0      11       1      0.331073D+08
 18       0      11       1      0.193408D+08
 19       0      11       1      0.570849D+07
 16       0      12       1      0.342553D+07
 17       0      12       1      0.177027D+08
 18       0      12       1      0.281023D+08
 19       0      12       1      0.268274D+08
 16       0      13       1      0.896154D+07
 17       0      13       1      0.247145D+05
 18       0      13       1      0.559015D+07
 19       0      13       1      0.164022D+08
 16       0      14       1      0.240876D+08
 17       0      14       1      0.114085D+08
 18       0      14       1      0.123900D+07
 19       0      14       1      0.130016D+07
 16       0      15       1      0.172320D+08
 17       0      15       1      0.162685D+08
 18       0      15       1      0.853355D+07
 19       0      15       1      0.122842D+07
 16       0      16       1      0.109218D+06
 17       0      16       1      0.207799D+08
 18       0      16       1      0.287881D+07
 19       0      16       1      0.643951D+07
 16       0      17       1      0.924756D+07
 17       0      17       1      0.393330D+07
 18       0      17       1      0.123435D+08
 19       0      17       1      0.554250D+07
 20       0       0       1      0.363810D+08
 21       0       0       1      0.304783D+08
 22       0       0       1      0.254952D+08
 23       0       0       1      0.213085D+08
 20       0       1       1      0.608018D+08
 21       0       1       1      0.584176D+08
 22       0       1       1      0.551450D+08
 23       0       1       1      0.513208D+08
 20       0       2       1      0.955657D+07
 21       0       2       1      0.149336D+08
 22       0       2       1      0.201012D+08
 23       0       2       1      0.246322D+08
 20       0       3       1      0.171764D+08
 21       0       3       1      0.959321D+07
 22       0       3       1      0.429199D+07
 23       0       3       1      0.120950D+07
 20       0       4       1      0.388717D+08
 21       0       4       1      0.391960D+08
 22       0       4       1      0.365009D+08
 23       0       4       1      0.317695D+08
 20       0       5       1      0.107419D+07
 21       0       5       1      0.561557D+07
 22       0       5       1      0.118660D+08
 23       0       5       1      0.181017D+08
 20       0       6       1      0.261228D+08
 21       0       6       1      0.156817D+08
 22       0       6       1      0.721752D+07
 23       0       6       1      0.195426D+07
 20       0       7       1      0.261000D+08
 21       0       7       1      0.317245D+08
 22       0       7       1      0.322922D+08
 23       0       7       1      0.286280D+08
 20       0       8       1      0.323456D+06
 21       0       8       1      0.147557D+07
 22       0       8       1      0.729979D+07
 23       0       8       1      0.146019D+08
 20       0       9       1      0.280722D+08
 21       0       9       1      0.172685D+08
 22       0       9       1      0.737235D+07
 23       0       9       1      0.139697D+07
 20       0      10       1      0.200458D+08
 21       0      10       1      0.270784D+08
 22       0      10       1      0.275805D+08
 23       0      10       1      0.225997D+08
 20       0      11       1      0.477766D+05
 21       0      11       1      0.303454D+07
 22       0      11       1      0.106441D+08
 23       0      11       1      0.179964D+08
 20       0      12       1      0.170728D+08
 21       0      12       1      0.643378D+07
 22       0      12       1      0.567834D+06
 23       0      12       1      0.868581D+06
 20       0      13       1      0.223982D+08
 21       0      13       1      0.202735D+08
 22       0      13       1      0.129035D+08
 23       0      13       1      0.519645D+07
 20       0      14       1      0.829115D+07
 21       0      14       1      0.149664D+08
 22       0      14       1      0.167459D+08
 23       0      14       1      0.135085D+08
 20       0      15       1      0.472030D+06
 21       0      15       1      0.465567D+07
 22       0      15       1      0.936088D+07
 23       0      15       1      0.114256D+08
 20       0      16       1      0.967441D+04
 21       0      16       1      0.142335D+06
 22       0      16       1      0.408227D+07
 23       0      16       1      0.433862D+07
 20       0      17       1      0.947727D+07
 21       0      17       1      0.894087D+07
 22       0      17       1      0.633607D+07
 23       0      17       1      0.114759D+08
 24       0       0       1      0.178036D+08
 25       0       0       1      0.148769D+08
 26       0       0       1      0.124376D+08
