           1           1           1           0       14786  0.41641869999999997        1215.6679999999999        626500000.00000000        911.77629999999999        1542.0920000000001     
           2           2           1        6162        9778   7.9165170000000007E-002   1025.7220000000000        189700000.00000000        971.27410441016195        1080.2358626009379     
           3           3           1        5344        7109   2.9007590000000000E-002   972.53660000000002        81270000.000000000        953.06460476149709        991.92945008047468     
           4           4           1        4797        5647   1.3947520000000000E-002   949.74289999999996        42040000.000000000        940.44622751738052        958.97636730362899     
           5           5           1        4434        4815   7.8042229999999999E-003   937.80340000000001        24500000.000000000        932.64200000000005        943.27750639786348     
           6           6           1        3885        4448   4.8157269999999997E-003   930.74820000000000        15510000.000000000        927.54741343562205        933.96199999999999     
           7           7           1        3599        3891   3.1851480000000001E-003   926.22559999999999        10430000.000000000        924.13300000000004        928.36800000000005     
           8           8           1        3423        3620   2.2173140000000002E-003   923.15030000000002        7344000.0000000000        921.66773322132360        924.60349371094958     
           9           9           1        3312        3427   1.6063810000000000E-003   920.96299999999997        5366000.0000000000        919.87119281341415        922.05100000000004     
          10          10           1        3207        3317   1.2012380000000001E-003   919.35130000000004        4039000.0000000000        918.55924497337128        920.14099999999996     
          11          11           1        2995        3215   9.2204110000000000E-004   918.12929999999994        3115000.0000000000        917.52542826039848        918.75986355021109     
          12          12           1        2856        2999   7.2301840000000000E-004   917.18050000000005        2453000.0000000000        916.70500000000004        917.67699737008002     
          13          13           1        2768        2859   5.7754279999999996E-004   916.42909999999995        1966000.0000000000        916.02181317458781        916.83197331439953     
          14          14           1        2678        2772   4.6889320000000003E-004   915.82380000000001        1600000.0000000000        915.50000000000000        916.15168205931047     
          15          15           1        2561        2683   3.8586319999999998E-004   915.32889999999998        1319000.0000000000        915.06787477985461        915.60033881532718     
          16          16           1        2491        2564   3.2125230000000000E-004   914.91920000000005        1100000.0000000000        914.70492929390605        915.12993827249102     
          17          17           1        2373        2494   2.7033729999999999E-004   914.57619999999997        927500.00000000000        914.39932736357048        914.75429025193966     
          18          18           1        2270        2390   2.2967480000000000E-004   914.28610000000003        789000.00000000000        914.12869013446857        914.43920138013812     
          19          19           1        2208        2273   1.9678440000000001E-004   914.03850000000000        676800.00000000000        913.90847952251602        914.16991302315500     
          20          20           1        2140        2211   1.6987609999999999E-004   913.82560000000001        584800.00000000000        913.70686754632868        913.93895207075707     
          21          21           1        2071        2144   1.4765709999999999E-004   913.64110000000005        508800.00000000000        913.53782636627659        913.74370574275667     
          22          22           1        2000        2075   1.2917790000000000E-004   913.48030000000006        445400.00000000000        913.39077472340477        913.56556595063375     
          23          23           1        1934        2004   1.1364290000000000E-004   913.33910000000003        392100.00000000000        913.26086218175840        913.42372008109908     
          24          24           1        1881        1938   1.0052160000000000E-004   913.21460000000002        347000.00000000000        913.14797596207779        913.28532671984931     
          25          25           1        1832        1884   8.9322619999999999E-005   913.10419999999999        308600.00000000000        913.04390996950110        913.16413817646753     
          26          26           1        1778        1835   7.9743189999999998E-005   913.00590000000000        275600.00000000000        912.95185457355205        913.05962043587363     
          27          27           1        1733        1781   7.1481410000000004E-005   912.91790000000003        247100.00000000000        912.87041953743892        912.96539947109613     
          28          28           1        1688        1735   6.4310889999999994E-005   912.83889999999997        222500.00000000000        912.79381710274492        912.88237288589005     
          29          29           1        1640        1691   5.8080610000000002E-005   912.76760000000002        201000.00000000000        912.72889723366427        912.80694966564340     
          30          30           1        1591        1643   5.2639829999999999E-005   912.70320000000004        182200.00000000000        912.66787718980595        912.74128126751430     
          31          31           1        1547        1595   4.7838040000000001E-005   912.64469999999994        165700.00000000000        912.60926822308602        912.67922841989662     
          32          32           1        1504        1553   4.3637290000000002E-005   912.59150000000000        151100.00000000000        912.55627632245944        912.62698367676387     
          33          33           1        1460        1513   3.9887349999999997E-005   912.54290000000003        138100.00000000000        912.50856881626510        912.57902333526511     
          34          34           1        1416        1472   3.6550470000000000E-005   912.49839999999995        126600.00000000000        912.46399902218889        912.53341807591994     
          35          35           1        1375        1432   3.3585230000000000E-005   912.45749999999998        116400.00000000000        912.42352661155928        912.49237367555577     
          36          36           1        1333        1396   3.0931510000000001E-005   912.41989999999998        107200.00000000000        912.38610345489951        912.45387323899115     
          37          37           1        1292        1364   2.8551729999999998E-005   912.38530000000003        98980.000000000000        912.35165516638790        912.41909651463152     
          38          38           1        1252        1335   2.6408310000000000E-005   912.35329999999999        91570.000000000000        912.31952855683176        912.38726042995472     
          39          39           1        1214        1306   2.4474949999999998E-005   912.32370000000003        84870.000000000000        912.28879661035376        912.35803642958103     
          40          40           1        1179        1272   2.2725369999999999E-005   912.29620000000000        78820.000000000000        912.26189799971121        912.33023273043273     
          41          41           1        1143        1240   2.1137040000000000E-005   912.27059999999994        73330.000000000000        912.23707054076590        912.30401779833471     
          42          42           1        1106        1208   1.9694940000000000E-005   912.24680000000001        68330.000000000000        912.21278896254739        912.28035074810759     
          43          43           1        1075        1177   1.8384040000000002E-005   912.22460000000001        63780.000000000000        912.19044281654101        912.25853262356281     
          44          44           1        1043        1143   1.7181860000000000E-005   912.20389999999998        59630.000000000000        912.17008684151301        912.23707054076590     
          45          45           1        1007        1110   1.6084620000000000E-005   912.18449999999996        55820.000000000000        912.15109359471273        912.21767297232213     
          46          46           1         973        1083   1.5081070000000000E-005   912.16639999999995        52340.000000000000        912.13340000000005        912.19939485755197     
          47          47           1         939        1057   1.4156220000000000E-005   912.14940000000001        49140.000000000000        912.11634014374454        912.18254000150148     
          48          48           1         909        1032   1.3306300000000000E-005   912.13340000000005        46190.000000000000        912.10049364462429        912.16639999999995     
